Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2021-01,8.709677419354838,69.6774193548387,17.64516129032258,167.5
2021-02,8.035714285714286,70.21428571428571,18.107142857142858,51.7
2021-03,8.0,68.96774193548387,15.741935483870968,74.39999999999999
2021-04,11.166666666666666,72.0,14.2,65.8
2021-05,17.387096774193548,64.7741935483871,13.870967741935484,44.0
2021-06,20.866666666666667,67.13333333333334,11.066666666666666,77.3
2021-07,25.741935483870968,62.645161290322584,17.225806451612904,37.0
2021-08,26.225806451612904,59.74193548387097,16.967741935483872,12.8
2021-09,21.533333333333335,59.166666666666664,18.8,18.9
2021-10,16.64516129032258,69.80645161290323,19.06451612903226,39.4
2021-11,13.833333333333334,68.36666666666666,16.066666666666666,75.7
2021-12,10.064516129032258,71.87096774193549,19.838709677419356,82.5
