Date,Country,Country_Temp,Avg Temperature (C),Avg Humidity (%),Total Precipitation (mm)
2019-01-01,ASM,27.33,8.475422427035332,70.20276497695852,77.66666666666667
2019-04-01,ASM,27.52,18.11935483870968,66.00573476702509,28.066666666666663
2019-07-01,ASM,26.69,23.525089605734767,62.93942652329749,29.36666666666667
2019-10-01,ASM,26.76,15.47347670250896,69.24408602150538,55.73333333333333
2020-01-01,ASM,27.42,8.450129773822766,69.75046347793845,85.46666666666665
2020-04-01,ASM,27.51,16.76845878136201,62.81146953405018,64.10000000000001
2020-07-01,ASM,26.64,24.58817204301075,64.13082437275986,5.3
2020-10-01,ASM,26.69,15.144802867383511,66.83405017921147,38.9
2021-01-01,ASM,27.36,8.248463901689709,69.61981566820276,97.86666666666667
2021-04-01,ASM,27.5,16.47347670250896,67.96917562724015,62.36666666666667
2021-07-01,ASM,26.69,24.50035842293907,60.517921146953405,22.9
2021-10-01,ASM,26.72,13.514336917562725,70.0146953405018,65.86666666666667
2022-01-01,ASM,27.31,6.649385560675884,69.68817204301075,73.13333333333334
2022-04-01,ASM,27.44,17.54121863799283,67.17885304659498,45.833333333333336
2022-07-01,ASM,26.68,24.85555555555555,59.45304659498208,36.53333333333333
2022-10-01,ASM,26.7,14.849820788530463,68.09139784946235,37.266666666666666
2023-01-01,ASM,27.38,8.930491551459292,72.18894009216591,76.33333333333333
2023-04-01,ASM,27.39,16.272043010752686,72.81505376344086,64.66666666666667
2023-07-01,ASM,26.71,24.968817204301075,59.33763440860215,29.133333333333336
2023-10-01,ASM,26.77,15.349820788530463,68.77419354838709,141.86666666666667
2024-01-01,ASM,27.42,9.42491657397108,71.02892102335929,65.7
2024-04-01,ASM,27.58,18.25663082437276,65.27419354838709,42.06666666666667
2024-07-01,ASM,26.8,25.138709677419353,61.07777777777778,38.1
2024-10-01,ASM,26.83,13.56415770609319,67.48853046594982,68.66666666666667
2019-01-01,AUS,28.13,8.475422427035332,70.20276497695852,77.66666666666667
2019-04-01,AUS,23.09,18.11935483870968,66.00573476702509,28.066666666666663
2019-07-01,AUS,16.15,23.525089605734767,62.93942652329749,29.36666666666667
2019-10-01,AUS,23.81,15.47347670250896,69.24408602150538,55.73333333333333
2020-01-01,AUS,28.43,8.450129773822766,69.75046347793845,85.46666666666665
2020-04-01,AUS,23.15,16.76845878136201,62.81146953405018,64.10000000000001
2020-07-01,AUS,16.18,24.58817204301075,64.13082437275986,5.3
2020-10-01,AUS,23.84,15.144802867383511,66.83405017921147,38.9
2021-01-01,AUS,28.59,8.248463901689709,69.61981566820276,97.86666666666667
2021-04-01,AUS,23.24,16.47347670250896,67.96917562724015,62.36666666666667
2021-07-01,AUS,16.39,24.50035842293907,60.517921146953405,22.9
2021-10-01,AUS,23.55,13.514336917562725,70.0146953405018,65.86666666666667
2022-01-01,AUS,28.25,6.649385560675884,69.68817204301075,73.13333333333334
2022-04-01,AUS,23.04,17.54121863799283,67.17885304659498,45.833333333333336
