Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2019-01,7.483870967741935,73.2258064516129,20.06451612903226,122.7
2019-02,8.071428571428571,72.28571428571429,20.142857142857142,72.8
2019-03,9.870967741935484,65.09677419354838,18.419354838709676,37.5
2019-04,12.1,68.33333333333333,14.166666666666666,41.7
2019-05,18.258064516129032,65.48387096774194,12.35483870967742,31.3
2019-06,24.0,64.2,14.4,11.2
2019-07,24.096774193548388,60.806451612903224,15.774193548387096,46.1
2019-08,24.64516129032258,64.64516129032258,20.451612903225808,27.099999999999998
2019-09,21.833333333333332,63.36666666666667,18.466666666666665,14.9
2019-10,18.612903225806452,72.96774193548387,14.935483870967742,51.0
2019-11,17.033333333333335,64.7,13.6,51.8
2019-12,10.774193548387096,70.06451612903226,17.548387096774192,64.39999999999999
2020-01,7.290322580645161,69.48387096774194,19.322580645161292,119.3
2020-02,7.931034482758621,69.89655172413794,18.96551724137931,67.7
2020-03,10.129032258064516,69.87096774193549,16.451612903225808,69.4
2020-04,11.366666666666667,63.9,19.166666666666668,54.9
2020-05,16.838709677419356,62.96774193548387,13.451612903225806,67.8
2020-06,22.1,61.56666666666667,11.933333333333334,69.6
2020-07,24.870967741935484,65.7741935483871,20.516129032258064,2.9
2020-08,25.193548387096776,62.45161290322581,20.0,3.3000000000000003
2020-09,23.7,64.16666666666667,18.966666666666665,9.7
2020-10,20.35483870967742,61.83870967741935,11.935483870967742,65.1
2020-11,13.466666666666667,66.56666666666666,18.966666666666665,21.8
2020-12,11.612903225806452,72.09677419354838,17.64516129032258,29.8
2021-01,8.709677419354838,69.6774193548387,17.64516129032258,167.5
2021-02,8.035714285714286,70.21428571428571,18.107142857142858,51.7
2021-03,8.0,68.96774193548387,15.741935483870968,74.39999999999999
2021-04,11.166666666666666,72.0,14.2,65.8
2021-05,17.387096774193548,64.7741935483871,13.870967741935484,44.0
2021-06,20.866666666666667,67.13333333333334,11.066666666666666,77.3
2021-07,25.741935483870968,62.645161290322584,17.225806451612904,37.0
2021-08,26.225806451612904,59.74193548387097,16.967741935483872,12.8
2021-09,21.533333333333335,59.166666666666664,18.8,18.9
2021-10,16.64516129032258,69.80645161290323,19.06451612903226,39.4
2021-11,13.833333333333334,68.36666666666666,16.066666666666666,75.7
2021-12,10.064516129032258,71.87096774193549,19.838709677419356,82.5
2022-01,6.387096774193548,69.7741935483871,17.903225806451612,61.699999999999996
2022-02,7.464285714285714,73.0,15.107142857142858,112.6
2022-03,6.096774193548387,66.29032258064517,17.29032258064516,45.1
2022-04,12.866666666666667,68.56666666666666,13.6,78.7
2022-05,17.29032258064516,64.90322580645162,13.774193548387096,19.9
2022-06,22.466666666666665,68.06666666666666,15.033333333333333,38.9
2022-07,25.225806451612904,58.096774193548384,19.838709677419356,27.7
2022-08,26.774193548387096,63.12903225806452,15.548387096774194,25.3
2022-09,22.566666666666666,57.13333333333333,15.3,56.6
2022-10,18.0,63.225806451612904,18.64516129032258,20.3
2022-11,15.033333333333333,67.5,16.0,35.6
2022-12,11.516129032258064,73.54838709677419,14.387096774193548,55.9
2023-01,9.870967741935484,70.90322580645162,15.096774193548388,23.3
2023-02,7.178571428571429,71.85714285714286,19.678571428571427,64.2
2023-03,9.741935483870968,73.80645161290323,15.548387096774194,141.5
2023-04,12.066666666666666,74.4,13.833333333333334,107.7
2023-05,15.516129032258064,75.64516129032258,15.64516129032258,65.0
2023-06,21.233333333333334,68.4,15.8,21.3
2023-07,25.903225806451612,54.12903225806452,15.225806451612904,38.6
2023-08,25.903225806451612,62.483870967741936,20.193548387096776,1.8
2023-09,23.1,61.4,20.1,47.0
2023-10,19.225806451612904,64.51612903225806,14.903225806451612,36.3
2023-11,15.533333333333333,68.0,20.2,272.7
2023-12,11.290322580645162,73.80645161290323,17.483870967741936,116.60000000000001
2024-01,8.161290322580646,72.93548387096774,21.419354838709676,107.4
2024-02,9.758620689655173,71.34482758620689,15.068965517241379,23.5
2024-03,10.35483870967742,68.80645161290323,11.193548387096774,66.2
2024-04,14.933333333333334,67.06666666666666,14.066666666666666,56.199999999999996
2024-05,15.903225806451612,69.3225806451613,14.483870967741936,61.0
2024-06,23.933333333333334,59.43333333333333,17.5,9.000000000000002
2024-07,26.580645161290324,60.12903225806452,18.06451612903226,21.8
2024-08,25.93548387096774,58.87096774193548,16.870967741935484,7.2
2024-09,22.9,64.23333333333333,13.233333333333333,85.3
2024-10,17.93548387096774,63.096774193548384,15.709677419354838,11.200000000000001
2024-11,12.466666666666667,66.43333333333334,17.533333333333335,67.89999999999999
2024-12,10.290322580645162,72.93548387096774,16.032258064516128,126.89999999999999
